16,,"Prohemium-17,Prohemium-18,Prohemium-19,Prohemium-20,Prohemium-21,Prohemium-22,Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26[ -- ]Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36",0.768824559
17,,"Prohemium-18,Prohemium-19,Prohemium-20,Prohemium-21,Prohemium-22,Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27[ -- ]Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37",0.723928806
18,,"Prohemium-19,Prohemium-20,Prohemium-21,Prohemium-22,Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28[ -- ]Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38",0.760369025
19,,"Prohemium-20,Prohemium-21,Prohemium-22,Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29[ -- ]Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39",0.799491781
20,,"Prohemium-21,Prohemium-22,Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30[ -- ]Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40",0.853530927
21,,"Prohemium-22,Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31[ -- ]Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41",0.834776539
22,,"Prohemium-23,Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32[ -- ]Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42",0.81290981
23,,"Prohemium-24,Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33[ -- ]Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42,Prohemium-43",0.798174636
24,,"Prohemium-25,Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34[ -- ]Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42,Prohemium-43,Prohemium-44",0.828688158
25,,"Prohemium-26,Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35[ -- ]Prohemium-36,Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42,Prohemium-43,Prohemium-44,Prohemium-45",0.829753378
26,,"Prohemium-27,Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36[ -- ]Prohemium-37,Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42,Prohemium-43,Prohemium-44,Prohemium-45,Prohemium-46",0.752196379
27,,"Prohemium-28,Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37[ -- ]Prohemium-38,Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42,Prohemium-43,Prohemium-44,Prohemium-45,Prohemium-46,Prohemium-47",0.613488854
28,,"Prohemium-29,Prohemium-30,Prohemium-31,Prohemium-32,Prohemium-33,Prohemium-34,Prohemium-35,Prohemium-36,Prohemium-37,Prohemium-38[ -- ]Prohemium-39,Prohemium-40,Prohemium-41,Prohemium-42,Prohemium-43,Prohemium-44,Prohemium-45,Prohemium-46,Prohemium-47,Prohemium-48",0.673089617
